product,type,language,state,client,borrower fname,borrower lname,address,borrower email,cobo fname,cobo lname,cobo address,cobo state,cobo email,sales rep email,partner email
solar,combined,english,NY,SunRun,SunRun-PB-NY-EN,Test,18 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-NY-EN,Test,6 test street,NY,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,combined,spanish,CA,eeTest,eeTest-PB-CA-SP,Test,19 test street,borrower-automation@testmail.loanpal.com,eeTest-CB-CA-SP,Test,7 test street,CA,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,combined,spanish,CA,SunRun,SunRun-PB-CA-SP,Test,20 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-CA-SP,Test,8 test street,CA,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,combined,spanish,AZ,eeTest,eeTest-PB-AZ-SP,Test,21 test street,borrower-automation@testmail.loanpal.com,eeTest-CB-AZ-SP,Test,9 test street,AZ,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,combined,spanish,AZ,SunRun,SunRun-PB-AZ-SP,Test,22 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-AZ-SP,Test,10 test street,AZ,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,combined,spanish,NY,eeTest,eeTest-PB-NY-SP,Test,23 test street,borrower-automation@testmail.loanpal.com,eeTest-CB-NY-SP,Test,11 test street,NY,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,combined,spanish,NY,SunRun,SunRun-PB-NY-SP,Test,24 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-NY-SP,Test,12 test street,NY,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
